Statistic,Value
player_0_total_returns,"[6, 7, 6, 9, 0, 9, 5, 7, 6, 7]"
player_1_total_returns,"[10, 7, 5, 2, 0, 10, 7, 6, 10, 9]"
total_points_over_maximum,"[1.0, 0.8235294117647058, 0.9166666666666666, 0.8461538461538461, 0, 1.0, 0.8571428571428571, 0.9285714285714286, 1.0, 1.0]"
agreement_reached_percentage,"[100.0, 100.0, 100.0, 100.0, 0.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
