Statistic,Value
player_0_total_returns,"[0, 0, 0, 0, 0, 0, 8, 16, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0]"
player_1_total_returns,"[0, 0, 0, 0, 0, 0, 8, 16, 0, 0, 0, 0, 0, 0, 0, 0, 10, 0, 0, 0]"
total_points_over_maximum,"[0, 0, 0, 0, 0, 0, 0.5333333333333333, 0.8888888888888888, 0, 0, 0, 0, 0, 0, 0, 0, 0.7692307692307693, 0, 0, 0]"
agreement_reached_percentage,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0]"
