Statistic,Value
player_0_total_returns,"[24, 25, 20, 18, 32]"
player_1_total_returns,"[24, 28, 19, 19, 17]"
total_points_over_maximum,"[0.25, 0, 0.75, 0.7777777777777778, 1.0, 0.9230769230769231, 0, 1.0, 0.8571428571428571, 0.9285714285714286, 0, 0, 0.75, 0, 0.9375, 1.0, 0.9333333333333333, 0, 0.9285714285714286, 0, 0.7692307692307693, 0.8947368421052632, 0.8461538461538461, 0, 0]"
agreement_reached_percentage,"[80.0, 80.0, 40.0, 60.0, 60.0]"
