Statistic,Value
player_0_total_returns,"[0, 0, 13, 16, 0, 0, 13, 0, 0, 0, 0, 0, 0, 12, 0, 0, 10, 6, 0, 0]"
player_1_total_returns,"[0, 0, 13, 16, 0, 0, 13, 0, 0, 0, 0, 0, 0, 12, 0, 0, 10, 6, 0, 0]"
total_points_over_maximum,"[0, 0, 0.8125, 0.8888888888888888, 0, 0, 1.0, 0, 0, 0, 0, 0, 0, 0.6666666666666666, 0, 0, 1.0, 0.375, 0, 0]"
agreement_reached_percentage,"[0.0, 0.0, 100.0, 100.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 100.0, 100.0, 0.0, 0.0]"
