Statistic,Value
player_0_total_returns,"[6, 6, 5, 10, 8, 4, 7, 8, 7, 7]"
player_1_total_returns,"[10, 10, 7, 4, 10, 9, 5, 10, 9, 6]"
total_reward_over_coop_optimum,"[0.375, 0.375, 0.4166666666666667, 0.7142857142857143, 0.4444444444444444, 0.3076923076923077, 0.5833333333333334, 0.4444444444444444, 0.4375, 0.5384615384615384]"
agreement_reached_percentage,"[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
