Statistic,Value
player_0_total_returns,"[13, 11, 12, 16, 14, 13, 14, 12, 14, 16, 10, 16, 12, 19, 13, 14, 10, 16, 14, 17]"
player_1_total_returns,"[13, 11, 12, 16, 14, 13, 14, 12, 14, 16, 10, 16, 12, 19, 13, 14, 10, 16, 14, 17]"
total_reward_over_coop_optimum,"[0.9285714285714286, 1.0, 1.0, 0.8888888888888888, 1.0, 0.8666666666666667, 0.875, 1.0, 1.0, 1.0, 0.8333333333333334, 1.0, 1.0, 1.0, 0.8666666666666667, 1.0, 0.7692307692307693, 1.0, 1.0, 1.0]"
agreement_reached_percentage,"[100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0, 100.0]"
