Statistic,Value
player_0_total_returns,"[0, 0, 0, 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 3]"
player_1_total_returns,"[0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 7]"
total_points_over_maximum,"[0, 0, 0, 0, 0, 0.8333333333333334, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.4375, 0, 0, 0, 0.7692307692307693]"
agreement_reached_percentage,"[0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 100.0]"
