Statistic,Value
player_0_total_returns,"[15, 35, 27, 26, 29]"
player_1_total_returns,"[20, 39, 31, 31, 35]"
total_points_over_maximum,"[0.9166666666666666, 0, 0, 0.8333333333333334, 0.7777777777777778, 0.8571428571428571, 1.0, 1.0, 1.0, 0.875, 1.0, 0.8461538461538461, 1.0, 0, 0.8823529411764706, 1.0, 0.9411764705882353, 0.9166666666666666, 0.7857142857142857, 0, 0.8461538461538461, 0.875, 0.8571428571428571, 1.0, 0.7857142857142857]"
agreement_reached_percentage,"[60.0, 100.0, 80.0, 80.0, 100.0]"
