Statistic,Value
player_0_total_returns,"[10, 13, 0, 0, 16, 0, 11, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0]"
player_1_total_returns,"[10, 13, 0, 0, 16, 0, 11, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 15, 0, 0]"
total_points_over_maximum,"[0.7142857142857143, 0.9285714285714286, 0, 0, 0.8888888888888888, 0, 0.6875, 0, 0, 0.625, 0, 0, 0, 0, 0, 0, 0, 0.8333333333333334, 0, 0]"
agreement_reached_percentage,"[100.0, 100.0, 0.0, 0.0, 100.0, 0.0, 100.0, 0.0, 0.0, 100.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 100.0, 0.0, 0.0]"
